ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
667,Prosthetics,DME,DME,Prosthetics,12.c,c) Providers,Appendix 1 to Attachment 3.1-B,Page 26a,680,6/1/12,27-Dec,24-Dec,,,,,,,,,,,,,,,,,,,,,,,,
668,Eyeglasses,DME,DME,Eyeglasses,12.d,,Appendix 1 to Attachment 3.1-B,Page 27,681,10/1/05,8-May,21-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,
669,Not Provided,IID,Diagnostic Services,Diagnostic Services,13.a,Not Provided,Appendix 1 to Attachment 3.1-B,Page 28,682,5/1/98,98-08,89-32,,,,,,,,,,,,,,,,,,,,,,,,
670,Not Provided,Screening Services,Screening Services,Screening Services,13.b,Not Provided,Appendix 1 to Attachment 3.1-B,Page 29,683,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
671,,Preventive,Preventive Services,Preventative Services,13.c,,Appendix 1 to Attachment 3.1-B,Page 30,684,7/1/13,13-14,9-Sep,,,,,,,,,,,,,,,,,,,,,,,,
672,Rehabilitative,DAHS,,Rehabilitative Services,13.d,Day Activities and Health Services,Appendix 1 to Attachment 3.1-B,Page 31,685,7/1/92,92-91,91-33,,,,,,,,,,,,,,,,,,,,,,,,
673,Rehabilitative,Mental Health,Authorization,Rehabilitative Services,13.d,"A. Mental Health Rehabilitative Services1. Authorization Process",Appendix 1 to Attachment 3.1-B,Page 31a,686,12/1/05,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,,
674,Rehabilitative,Mental Health,Definitions,Rehabilitative Services,13.d,A.2. Service Definitions,Appendix 1 to Attachment 3.1-B,Page 31b,687,5/24/12,6-Dec,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,
675,Rehabilitative,Mental Health,Definitions,Rehabilitative Services,13.d,A.2. Service Definitions,Appendix 1 to Attachment 3.1-B,Page 31b1,688,12/1/05,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,,
676,Rehabilitative,Mental Health,Definitions,Rehabilitative Services,13.d,A.2. Service Definitions,Appendix 1 to Attachment 3.1-B,Page 31c,689,5/24/12,6-Dec,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,
677,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,A.3. Providers and Qualifications,Appendix 1 to Attachment 3.1-B,Page 31c1,690,12/1/05,21-May,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
678,Rehabilitative,Mental Health,Exclusions,Rehabilitative Services,13.d,"A.3. Providers and QualificationsA.4. Mental Health Rehabilitative Service exclusions",Appendix 1 to Attachment 3.1-B,Page 31d,691,5/24/12,6-Dec,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,
679,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-B,Page 31e,692,12/1/05,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,,
680,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-B,Page 31f,693,12/1/05,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,,
681,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-B,Page 31g,694,12/1/05,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,,
682,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-B,Page 31h,695,12/1/05,21-May,7-Apr,96-15,,,,,,,,,,,,,,,,,,,,,,,
683,Rehabilitative,Mental Health,Blank Page,Rehabilitative Services,13.d,Blank Page,Appendix 1 to Attachment 3.1-B,Page 31i,696,10/1/11,Oct-68,00-18,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
684,Rehabilitative,Mental Health,Blank Page,Rehabilitative Services,13.d,Blank Page,Appendix 1 to Attachment 3.1-B,Page 31j,697,10/1/11,Oct-68,00-18,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
685,Rehabilitative,Mental Health,Blank Page,Rehabilitative Services,13.d,Blank Page,Appendix 1 to Attachment 3.1-B,Page 31k,698,10/1/11,Oct-68,00-18,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
686,Nursing Facility,DME,ACD,Rehabilitative Services,13.d,Speech Therapy Evaluation,Appendix 1 to Attachment 3.1-B,Page 31l,699,4/1/06,16-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
687,Rehabilitative,Substance Abuse,SUD,Rehabilitative Services,13.d,Substance Abuse and Dependency Treatment Services,Appendix 1 to Attachment 3.1-B,Page 31m,700,9/1/10,17-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
688,Rehabilitative,Substance Abuse,SUD,Rehabilitative Services,13.d,Substance Abuse and Dependency Treatment Services,Appendix 1 to Attachment 3.1-B,Page 31n,701,9/1/10,17-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
689,Rehabilitative,Substance Abuse,SUD,Rehabilitative Services,13.d,Substance Abuse and Dependency Treatment Services,Appendix 1 to Attachment 3.1-B,Page 31o,702,9/1/10,17-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
690,65+,Inpatient Hospital,IMD,65 or older in IMD,14.a,Inpatient Hospital Services,Appendix 1 to Attachment 3.1-B,Page 32,703,11/16/94,94-30,88-21,,,,,,,,,,,,,,,,,,,,,,,,
691,65+,Inpatient Hospital,IMD,65 or older in IMD,14.a,Inpatient Hospital Services - Provider Qualifications,Appendix 1 to Attachment 3.1-B,Page 32a,704,11/16/94,94-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
692,65+,SNF,IMD,65 or older in IMD,14.b,Skilled Nursing Facility Services,Appendix 1 to Attachment 3.1-B,Page 33,705,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
693,65+,ICF/IID,IMD,65 or older in IMD,14.c,Intermediate Care Facility_Not Provided,Appendix 1 to Attachment 3.1-B,Page 34,706,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
694,LTSS,ICF/IID,,Intermediate Care Facility Services,15.b,Intermediate Care Facility,Appendix 1 to Attachment 3.1-B,Page 36,707,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
695,LTSS,ICF/IID,,Intermediate Care Facility Services,15.b,Intermediate Care Facility,Appendix 1 to Attachment 3.1-B,Page 36a,708,4/1/89,89-15,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
696,ICF/IID,DME,ACD,Intermediate Care Facility Services,15.c,Augmentive Communication Device,Appendix 1 to Attachment 3.1-B,Page 36b,709,6/19/09,2-Sep,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
697,,Inpatient Psychiatric,Inpatient Psychiatric,Inpatient Psychiatric Facility Services for Individuals Under 21 Years of Age,16,,Appendix 1 to Attachment 3.1-B,Page 37,710,9/1/08,26-Aug,88-21,,,,,,,,,,,,,,,,,,,,,,,,
698,Physicians,Pregnant Women,Midwives,Nurse-Midwife Services,17,,Appendix 1 to Attachment 3.1-B,Page 38,711,9/1/07,26-Jul,93-41,,,,,,,,,,,,,,,,,,,,,,,,
699,Physicians,Pregnant Women,Midwives,Nurse-Midwife Services,17,,Appendix 1 to Attachment 3.1-B,Page 39,712,9/1/07,26-Jul,88-21,,,,,,,,,,,,,,,,,,,,,,,,
700,Hospice,End of Life,,Hospice Care,18,,Appendix 1 to Attachment 3.1-B,Page 40,713,9/1/11,Nov-34,Oct-50,,,,,,,,,,,,,,,,,,,,,,,,
701,Case Management,Chronic Mental Illness,Medically Needy,Case Management Services,19,Chronically Mentally Ill,Appendix 1 to Attachment 3.1-B,Page 41,714,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
702,Case Management,IID,Adults,Case Management Services,19,Mentally Retarded or Related Conditions,Appendix 1 to Attachment 3.1-B,Page 41a,715,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
703,Case Management,Blind Children,,Case Management Services,19,Blind and Visually Impaired Children,Appendix 1 to Attachment 3.1-B,Page 41b,716,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
704,Case Management,Pregnant Women,,Case Management Services,19,High-Risk Pregnant Women,Appendix 1 to Attachment 3.1-B,Page 41c,717,9/1/07,16-Jul,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,
705,DELETED,DELETED,DELETED,Blank Page,19,DELETED,Appendix 1 to Attachment 3.1-B,Page 41d,718,9/1/07,16-Jul,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,
706,Case Management,IID,Infants/Toddlers,Case Management Services,19,Infants and Toddlers with Development Disabilities,Appendix 1 to Attachment 3.1-B,Page 41e,719,7/1/92,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
707,Extended Services,Pregnant Women,Postpartum,Extended Services to Pregnant Women,20.a,Postpartum for 60 days after Pregnancy,Appendix 1 to Attachment 3.1-B,Page 42,720,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
708,Extended Services,Pregnant Women,Complications,Extended Services to Pregnant Women,20.b,Services for any other Medical Conditions that may complicate pregnancy,Appendix 1 to Attachment 3.1-B,Page 43,721,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
709,Physicians,APN,,Services by Certified Family and Pediatric Practicioners,21,,Appendix 1 to Attachment 3.1-B,Page 44,722,9/1/07,26-Jul,6-Mar,89-27,,,,,,,,,,,,,,,,,,,,,,,
710,Respiratory,Ventilator,,Respiratory Care Services,22,,Appendix 1 to Attachment 3.1-B,Page 45,723,9/1/07,19-Jul,90-03,,,,,,,,,,,,,,,,,,,,,,,,
711,Transportation,Ambulance,,Transportation,23.a,Service,Appendix 1 to Attachment 3.1-B,Page 46,724,10/1/07,13-Jul,6-Mar,98-01,88-21,,,,,,,,,,,,,,,,,,,,,,
712,Transportation,Ambulance,,Transportation,23.a,Coverage and Limitations,Appendix 1 to Attachment 3.1-B,Page 47,725,10/1/07,13-Jul,11-Jun,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,
713,Transportation,Ambulance,,Transportation,23.a,Service Limitations,Appendix 1 to Attachment 3.1-B,Page 47a,726,10/1/07,13-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
714,Nursing Facility,Religious,,Services provided in Religious Nonmedical Health Care Institutions,23.b,,Appendix 1 to Attachment 3.1-B,Page 48,727,1/1/03,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,,
715,,Blank Page,Blank Page,Reserved,23.c,Blank Page,Appendix 1 to Attachment 3.1-B,Page 49,728,1/1/03,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,,
716,Nursing Facility,EPSDT,,Nursing Facility Services for Individuals Under 21 Years of Age,23.d,,Appendix 1 to Attachment 3.1-B,Page 50,729,12/6/15,15-16,6-Mar,91-15,88-21,,,,,,,,,,,,,,,,,,,,,,
717,,Emergency,Hospital Services,Emergency Hosptial Services,23.e,,Appendix 1 to Attachment 3.1-B,Page 51,730,1/1/03,6-Mar,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
718,Birthing Center,Pregnant Women,,Birthing Center Facility Services,25,,Appendix 1 to Attachment 3.1-B,Page 52,731,1/1/13,13-07,Oct-49,,6-Mar,1-Feb,,,,,,,,,,,,,,,,,,,,,
719,Birthing Center,Pregnant Women,,Birthing Center Facility Services,25,,Appendix 1 to Attachment 3.1-B,Page 52a,732,1/1/13,13-07,,6-Mar,1-Feb,,,,,,,,,,,,,,,,,,,,,,
720,,Blank Page,Blank Page,Blank Page,,Blank Page,Appendix 1 to Attachment 3.1-B,Page 53,733,9/1/09,27-Sep,9-Mar,,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,
721,LTSS,PCS,Services,Personal Care Services,26,,Appendix 1 to Attachment 3.1-B,Page 54,734,11/3/08,Aug-36,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,
722,LTSS,PCS,Services,Personal Care Services,26,,Appendix 1 to Attachment 3.1-B ,Page 54a,735,11/3/08,Aug-36,17-Mar,,,,,,,,,,,,,,,,,,,,,,,,
723,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 55,736,6/1/15,15-08,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
724,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 56,737,9/1/14,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
725,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 57,738,9/1/14,14-20,10-Dec,5-Dec,Oct-57,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,
726,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 58,739,9/1/14,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
727,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 59,740,9/1/14,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
728,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 60,741,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
729,NEMT,Transportation,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-B,Page 61,742,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
730,,Transportation,Blank Page,Blank Page,28,Blank Page,Appendix 1 to Attachment 3.1-B,Page 62,743,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
731,,Excluded Services,Exclusions,Amount Duration and Scope of Services to Categorically Needy,,,Appendix 2 to Attachment 3.1-B,Page 01,744,12/6/15,12/6/15,9-Sep,93-32,,,,,,,,,,,,,,,,,,,,,,,
732,,Excluded Services,Exclusions,Amount Duration and Scope of Services to Categorically Needy,,,Appendix 2 to Attachment 3.1-B,Page 02,745,1/1/10,9-Sep,94-10,,,,,,,,,,,,,,,,,,,,,,,,
733,,Excluded Services,Exclusions,Amount Duration and Scope of Services to Categorically Needy,,,Appendix 2 to Attachment 3.1-B,Page 03,746,1/1/10,9-Sep,94-01,,,,,,,,,,,,,,,,,,,,,,,,
734,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,,Appendix 3 to Attachment 3.1-B ,Page 01,747,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
735,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"Amount, Duration, and Scope",Appendix 3 to Attachment 3.1-B ,Page 02,748,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
736,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"i. Eligibilityii. Service Package",Appendix 3 to Attachment 3.1-B ,Page 03,749,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
737,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"iii. Payment Methodologyiv. Use of Cashv. Voluntary Disenrollment",Appendix 3 to Attachment 3.1-B ,Page 04,750,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
738,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,v. Voluntary Disenrollment (continued),Appendix 3 to Attachment 3.1-B ,Page 05,751,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
739,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,v. Voluntary Disenrollment (continued),Appendix 3 to Attachment 3.1-B ,Page 06,752,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
740,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"v. Voluntary Disenrollment (continued)vi. Involuntary Disenrollment",Appendix 3 to Attachment 3.1-B ,Page 07,753,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
741,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,vi. Involuntary Disenrollment (continued),Appendix 3 to Attachment 3.1-B ,Page 08,754,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
742,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"vii. Participant Living Arrangementviii. Geographic Limitations and Comparabilityix. Assurances",Appendix 3 to Attachment 3.1-B ,Page 09,755,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
743,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,ix. Assurances (continued),Appendix 3 to Attachment 3.1-B,Page 10,756,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
744,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"ix. Assurances (continued)x. Service Planxi. Quality Assurance and Improvement Plan",Appendix 3 to Attachment 3.1-B,Page 11,757,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
745,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xi. Quality Assurance and Improvement Plan (continued),Appendix 3 to Attachment 3.1-B,Page 12,758,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
746,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xi. Quality Assurance and Improvement Plan (continued),Appendix 3 to Attachment 3.1-B,Page 13,759,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
747,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xi. Quality Assurance and Improvement Plan (continued),Appendix 3 to Attachment 3.1-B,Page 14,760,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
748,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xi. Quality Assurance and Improvement Plan (continued),Appendix 3 to Attachment 3.1-B,Page 15,761,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
749,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xi. Quality Assurance and Improvement Plan (continued),Appendix 3 to Attachment 3.1-B,Page 16,762,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
750,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"xi. Quality Assurance and Improvement Plan (continued)xii. Risk Management",Appendix 3 to Attachment 3.1-B,Page 17,763,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
751,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xii. Risk Management (continued),Appendix 3 to Attachment 3.1-B,Page 18,764,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
752,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xii. Risk Management (continued),Appendix 3 to Attachment 3.1-B,Page 19,765,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
753,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"xiii. Qualifications of Providers of Personal Assistancexiv. Use of a Representativexv. Permissible Purchasesxvi. Financial Management Services",Appendix 3 to Attachment 3.1-B,Page 20,766,10/1/11,Nov-52,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
754,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,xvi. Financial Management Services (continued),Appendix 3 to Attachment 3.1-B,Page 21,767,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
755,,Assurances,Assurances,Standards and Methods of Assuring High Quality Care,,,Attachment 3.1-C,,768,1/7/77,76-55,,,,,,,,,,,,,,,,,,,,,,,,,
756,Transportation,NEMT,,Methods of Providing Transportation,,,Attachment 3.1-D,Page 01,769,6/1/06,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
757,Transportation,NEMT,,Medical Transportation Program,1,Non-Emergency Transportation,Attachment 3.1-D,Page 02,770,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
758,Transportation,NEMT,,Medical Transportation Program,1,Non-Emergency Transportation,Attachment 3.1-D,Page 03,771,6/1/15,15-08,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,
759,Transportation,NEMT,,Medical Transportation Program,1,Non-Emergency Transportation,Attachment 3.1-D,Page 04,772,6/1/15,15-08,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,
760,Transportation,NEMT,,Medical Transportation Program ,"02.03.04.","Population ServedSingle State Agency ResponsibilitiesProcurement and Purchase of Services",Attachment 3.1-D ,Page 05,773,9/1/14,14-20,5-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
761,Transportation,NEMT,,Medical Transportation Program,"05.06.07.","Program LimitationsNon-covered ServicesProgram Monitoring and Validation",Attachment 3.1-D ,Page 06,774,9/1/14,14-20,5-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
762,Organ Transplant,Organ Transplant,,Standards for the Coverage of Organ Transplant Services,,,Attachment 3.1-E ,Page 01,775,11/28/96,96-20,89-04,,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,
763,Organ Transplant,Organ Transplant,,Standards for the Coverage of Organ Transplant Services,,,Attachment 3.1-E ,Page 02,776,1/1/94,94-03,93-39,,,,,,,,,,,,,,,,,,,,,,,,
764,PCCM,PCCM,,Primary Care Case Management Program,,"A. Section 1932(a)(1)(A) SSAB. General Description of the Program and Public Process",Attachment 3.1-F ,Page 01,777,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
765,PCCM,PCCM,,Primary Care Case Management Program,,B. General Description of the Program and Public Process,Attachment 3.1-F ,Page 02,778,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
766,PCCM,PCCM,,Primary Care Case Management Program,,"B. General Description of the Program and Public ProcessC. State Asssurances",Attachment 3.1-F ,Page 03,779,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
767,PCCM,PCCM,,Primary Care Case Management Program,,"C. State AssurancesD. Eligible Groups",Attachment 3.1-F ,Page 04,780,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
768,PCCM,PCCM,,Primary Care Case Management Program,,D. Eligible Groups,Attachment 3.1-F ,Page 05,781,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
769,PCCM,PCCM,,Primary Care Case Management Program,,E. Identification of Mandatory Exempt Groups,Attachment 3.1-F ,Page 06,782,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
770,PCCM,PCCM,,Primary Care Case Management Program,,E. Identification of Mandatory Exempt Groups,Attachment 3.1-F,Page 07,783,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
771,PCCM,PCCM,,Primary Care Case Management Program,,"F. Groups exempt from Mandatory EnrollmentG. Voluntary EnrollmentH. Enrollment Process",Attachment 3.1-F ,Page 08,784,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
772,PCCM,PCCM,,Primary Care Case Management Program,,H. Enrollment Process,Attachment 3.1-F ,Page 09,785,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
773,PCCM,PCCM,,Primary Care Case Management Program,,H. Enrollment Process,Attachment 3.1-F,Page 10,786,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
774,PCCM,PCCM,,Primary Care Case Management Program,,I. State Assurances on the Enrollment Process,Attachment 3.1-F,Page 11,787,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
775,PCCM,PCCM,,Primary Care Case Management Program,,"J. DisenrollmentK. Information Requirements for BeneficiariesL. List all services excluded for each model (MCO & PCCM)",Attachment 3.1-F,Page 12,788,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
776,PCCM,PCCM,,Primary Care Case Management Program,,M. Selective contracting under a 1932 state plan option,Attachment 3.1-F,Page 13,789,8/2/05,25-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
777,HCBS-AMH,1915(i),,Administration and Operation,"01.02.","ServicesState Medicaid Agency Line of Authority",Attachment 3.1-I,Page 01,790,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
778,HCBS-AMH,1915(i),,Administration and Operation,3,Distribution of State Plan HCBS Operational and Administrative Functions.,Attachment 3.1-I,Page 02,791,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
779,HCBS-AMH,1915(i),,Administration and Operation,3,Distribution of State Plan HCBS Operational and Administrative Functions.,Attachment 3.1-I,Page 03,792,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
780,HCBS-AMH,1915(i),,Administration and Operation,4,Conflict of Interest Standards,Attachment 3.1-I,Page 04,793,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
781,HCBS-AMH,1915(i),,Administration and Operation,"05.06.07.","Fair Hearings and AppealsNo FFP for Room and BoardNon-Duplication of Services",Attachment 3.1-I,Page 05,794,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
782,HCBS-AMH,1915(i),,"Number ServedFinancial Eligiblity","01.02.01.02.","Projected Number of Unduplicated Individuals to be served AnuallyAnnual ReportingMedicaid EligibleIncome Limits",Attachment 3.1-I,Page 06,795,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
783,HCBS-AMH,1915(i),,Financial Eligibility,3,Medically Needy,Attachment 3.1-I,Page 07,796,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
784,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,"01.02.03.","Responsibility for Performing Eval/ReevalQualification of Individuals Performaing Ev/ReEvProcess for Performing Evaluation/Reevaluation",Attachment 3.1-I,Page 08,797,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
785,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,"04.05.06.","Reevaluation ScheduleNeeds-based HCBS Eligibility CriteriaNeeds-based Institutional and Waiver Criteria",Attachment 3.1-I,Page 09,798,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
786,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,6,Needs-based Institutional and Waiver Criteria,Attachment 3.1-I,Page 10,799,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
787,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,6,Needs-based Institutional and Waiver Criteria,Attachment 3.1-I,Page 11,800,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
